period,total_value,differenced
2020-10-31,444137,-34155.0
2020-11-01,464835,20698.0
2020-11-02,503694,38859.0
2020-11-03,506036,2342.0
2020-11-04,510425,4389.0
2020-11-05,535170,24745.0
2020-11-06,515164,-20006.0
2020-11-07,460933,-54231.0
2020-11-08,427306,-33627.0
2020-11-09,485633,58327.0
2020-11-10,488170,2537.0
2020-11-11,486500,-1670.0
2020-11-12,481150,-5350.0
2020-11-13,456932,-24218.0
2020-11-14,409901,-47031.0
2020-11-15,419363,9462.0
2020-11-16,474144,54781.0
2020-11-17,473444,-700.0
2020-11-18,478975,5531.0
2020-11-19,470187,-8788.0
2020-11-20,476233,6046.0
2020-11-21,431229,-45004.0
2020-11-22,425927,-5302.0
2020-11-23,483150,57223.0
2020-11-24,469589,-13561.0
2020-11-25,464342,-5247.0
2020-11-26,421198,-43144.0
2020-11-27,423017,1819.0
2020-11-28,428322,5305.0
2020-11-29,434725,6403.0
2020-11-30,477780,43055.0
2020-12-01,507358,29578.0
2020-12-02,513466,6108.0
2020-12-03,500207,-13259.0
2020-12-04,508564,8357.0
2020-12-05,460963,-47601.0
2020-12-06,441989,-18974.0
2020-12-07,507449,65460.0
2020-12-08,484511,-22938.0
2020-12-09,466804,-17707.0
2020-12-10,492264,25460.0
2020-12-11,493653,1389.0
2020-12-12,456628,-37025.0
2020-12-13,453662,-2966.0
2020-12-14,508111,54449.0
2020-12-15,495405,-12706.0
2020-12-16,507463,12058.0
2020-12-17,472291,-35172.0
2020-12-18,462261,-10030.0
2020-12-19,427096,-35165.0
2020-12-20,412063,-15033.0
2020-12-21,449888,37825.0
2020-12-22,455330,5442.0
2020-12-23,476794,21464.0
2020-12-24,436719,-40075.0
2020-12-25,397474,-39245.0
2020-12-26,397307,-167.0
2020-12-27,388209,-9098.0
2020-12-28,469562,81353.0
2020-12-29,479247,9685.0
2020-12-30,467587,-11660.0
2020-12-31,429105,-38482.0
2021-01-01,392615,-36490.0
2021-01-02,378122,-14493.0
2021-01-03,384620,6498.0
2021-01-04,429729,45109.0
2021-01-05,437932,8203.0
2021-01-06,432339,-5593.0
2021-01-07,436669,4330.0
2021-01-08,445600,8931.0
2021-01-09,394864,-50736.0
2021-01-10,376122,-18742.0
2021-01-11,435224,59102.0
2021-01-12,418119,-17105.0
2021-01-13,414429,-3690.0
2021-01-14,419726,5297.0
2021-01-15,418736,-990.0
2021-01-16,378005,-40731.0
2021-01-17,362319,-15686.0
2021-01-18,398458,36139.0
2021-01-19,411590,13132.0
2021-01-20,403720,-7870.0
2021-01-21,429341,25621.0
2021-01-22,431497,2156.0
2021-01-23,387373,-44124.0
2021-01-24,419400,32027.0
2021-01-25,484406,65006.0
2021-01-26,505656,21250.0
2021-01-27,472299,-33357.0
2021-01-28,467675,-4624.0
2021-01-29,446938,-20737.0
2021-01-30,383250,-63688.0
2021-01-31,363854,-19396.0
2021-02-01,401868,38014.0
2021-02-02,403780,1912.0
2021-02-03,439341,35561.0
2021-02-04,431471,-7870.0
2021-02-05,416180,-15291.0
2021-02-06,373053,-43127.0
2021-02-07,367107,-5946.0
2021-02-08,449225,82118.0
2021-02-09,514392,65167.0
2021-02-10,506289,-8103.0
2021-02-11,495549,-10740.0
2021-02-12,494085,-1464.0
2021-02-13,506089,12004.0
2021-02-14,489817,-16272.0
2021-02-15,522975,33158.0
2021-02-16,527522,4547.0
2021-02-17,533689,6167.0
2021-02-18,529173,-4516.0
2021-02-19,490018,-39155.0
2021-02-20,445884,-44134.0
2021-02-21,412021,-33863.0
2021-02-22,470034,58013.0
2021-02-23,457729,-12305.0
2021-02-24,482149,24420.0
2021-02-25,461737,-20412.0
2021-02-26,468832,7095.0
2021-02-27,457265,-11567.0
2021-02-28,425115,-32150.0
2021-03-01,479595,54480.0
2021-03-02,466956,-12639.0
2021-03-03,481839,14883.0
2021-03-04,474509,-7330.0
2021-03-05,466971,-7538.0
2021-03-06,440741,-26230.0
2021-03-07,419117,-21624.0
2021-03-08,500116,80999.0
2021-03-09,515624,15508.0
2021-03-10,511764,-3860.0
